frame num,person id,bb_xmin,bb_ymin,bb_height,bb_width,age_min,age_max,age_actual,gender
61,36,585,1,34,48,45,51,50,M
61,48,48,501,106,129,26,28,28,M
62,40,186,190,67,95,24,25,26,F
62,36,584,1,34,48,43,48,45,M
62,48,14,497,106,130,29,31,32,M
63,40,221,202,66,94,26,27,28,F
63,36,583,1,34,48,44,49,47,M
64,40,255,206,69,98,31,34,34,F
64,36,581,1,35,48,39,43,41,M
65,40,267,207,71,100,27,28,28,F
65,36,581,1,35,48,39,43,41,M
65,52,811,149,97,98,24,25,26,M
65,53,800,437,115,143,47,52,50,M
65,54,215,565,116,153,31,33,32,M
65,55,445,433,53,67,26,27,28,F
66,40,289,218,71,99,25,27,27,F
66,52,754,148,95,97,24,25,26,M
66,53,749,406,118,146,45,51,49,M
66,54,189,535,113,149,31,34,34,M
66,55,472,430,57,73,29,31,31,M
67,40,314,232,71,100,26,28,28,F
67,52,671,159,92,94,3,18,12,M
67,53,674,401,118,146,44,50,48,M
67,54,146,514,113,149,27,29,29,M
67,55,495,439,64,82,31,34,34,M
68,40,341,240,73,102,27,28,28,F
68,52,586,152,94,94,25,26,26,M
68,53,593,383,112,139,40,45,44,M
68,54,92,501,112,147,34,37,36,M
68,55,518,444,70,90,25,25,26,M
68,56,314,18,53,79,25,27,27,M
69,40,370,247,75,105,27,29,29,F
69,52,502,150,98,99,25,25,26,M
69,53,515,361,110,136,48,53,51,M
69,54,54,482,110,145,28,30,30,M
69,56,341,28,50,73,0,0,1,M
70,40,412,260,74,105,27,29,29,M
70,52,416,162,99,102,27,28,28,M
70,53,437,354,109,135,78,79,80,M
70,54,16,476,108,144,30,33,32,M
71,40,427,265,75,104,25,25,26,M
71,52,387,166,99,103,29,31,31,M
71,53,413,352,109,135,79,79,80,M
71,54,4,474,108,144,37,39,39,M
71,55,616,469,77,99,30,33,32,M
71,56,389,20,57,83,25,27,27,M
72,40,456,265,77,108,29,31,32,F
72,52,330,166,96,100,25,27,27,M
72,53,356,335,110,134,48,53,52,M
72,55,653,481,76,99,26,27,28,M
72,56,420,25,55,82,31,33,32,M
73,40,487,276,78,109,32,34,35,F
73,52,265,161,94,100,25,27,27,M
73,53,286,327,111,136,52,59,55,F
73,55,687,499,76,98,29,30,30,M
73,56,448,27,56,82,27,29,29,M
74,40,516,292,79,110,28,30,30,F
74,52,192,168,95,102,27,29,29,M
74,53,207,330,111,135,48,53,52,M
74,55,725,515,78,102,26,27,28,M
74,56,472,42,50,75,26,28,28,M
74,36,579,2,35,45,49,54,53,M
75,40,542,303,80,113,29,31,32,F
75,52,112,171,94,101,24,25,26,M
75,53,131,324,109,133,57,70,64,F
75,55,771,537,79,106,27,29,29,M
75,56,497,30,46,66,33,34,35,M
75,36,578,1,34,45,42,47,45,M
76,40,565,320,80,112,28,29,30,F
76,52,33,169,92,101,29,31,32,M
76,53,59,321,108,131,70,79,79,F
76,56,500,29,48,71,29,30,30,M
76,61,463,53,53,70,29,31,31,M
77,40,573,326,79,111,32,34,34,F
77,52,6,168,92,101,27,28,28,M
77,53,35,320,108,130,46,51,50,F
77,56,501,29,50,72,29,31,31,M
77,61,463,54,52,70,29,30,30,M
78,40,588,341,81,113,29,31,30,F
78,61,466,54,58,77,27,29,29,M
78,55,813,578,84,113,31,34,34,M
79,40,600,348,84,117,29,32,32,F
79,61,485,66,58,76,34,35,35,M
79,55,807,595,86,117,29,31,31,M
80,40,602,361,87,121,26,27,28,F
81,40,589,378,90,125,29,31,31,F
81,61,523,68,59,79,28,30,30,M
82,40,565,392,93,129,29,31,31,F
82,66,86,150,72,88,41,45,45,M
82,61,530,77,59,77,38,41,40,M
83,40,556,397,93,130,30,32,32,F
83,66,89,149,72,89,49,54,52,F
83,61,533,80,58,77,30,32,32,M
83,68,786,558,101,139,39,44,42,M
83,70,495,42,53,74,25,25,26,M
84,40,541,412,96,134,31,34,33,F
84,66,119,152,70,86,34,37,36,M
84,61,530,87,60,78,30,32,32,M
84,68,824,529,101,138,34,37,36,M
84,69,17,101,29,81,24,25,26,M
84,70,502,45,52,73,25,25,26,M
85,40,517,441,95,131,32,34,35,M
85,66,159,147,65,80,39,42,41,M
85,61,523,86,59,77,26,27,27,M
85,70,502,58,50,69,0,2,1,F
86,40,478,459,95,129,35,38,38,M
86,66,190,139,65,80,79,79,80,M
86,61,519,87,58,74,25,27,27,M
87,66,217,139,63,78,54,64,60,M
87,61,521,93,61,77,27,28,28,M
87,44,385,489,101,133,31,34,34,M
88,66,240,133,60,75,79,79,80,M
88,61,534,103,60,76,27,28,28,M
88,70,465,74,58,79,27,29,29,M
89,66,247,131,59,74,79,79,80,M
89,61,538,107,60,75,27,29,29,M
89,74,142,78,57,74,34,35,35,M
89,75,302,526,109,138,39,44,43,M
89,70,461,75,58,81,27,28,28,M
90,66,265,124,59,72,48,53,51,M
90,61,546,107,61,77,29,31,32,M
90,74,170,80,59,76,37,40,40,M
90,70,458,83,61,83,24,25,26,M
91,66,291,122,60,73,48,54,52,M
91,61,543,116,60,76,28,29,30,M
91,74,212,78,57,73,38,41,40,M
91,70,457,83,61,84,25,27,27,M
92,66,329,123,57,70,36,39,39,M
92,61,531,129,61,76,27,29,29,M
92,74,250,70,58,75,38,41,40,M
92,70,446,87,63,86,26,27,28,M
93,66,368,113,55,68,42,47,45,F
93,61,506,136,62,77,25,25,26,M
93,74,286,71,54,70,31,34,34,M
93,70,421,99,65,88,27,29,29,M
94,66,371,103,67,83,27,29,29,M
94,61,480,133,67,84,28,30,30,M
94,74,312,67,53,69,44,49,46,M
95,66,374,99,70,88,31,34,33,M
95,61,470,132,70,86,22,25,24,M
95,74,319,65,53,69,30,33,32,M
96,66,407,107,59,73,79,79,80,M
96,61,461,137,69,86,38,41,40,M
96,74,337,90,66,85,34,35,35,F
97,66,425,108,55,68,29,32,32,M
97,61,450,146,71,90,27,28,28,M
97,68,900,241,58,93,44,49,47,M
97,74,331,110,69,90,34,37,36,M
97,36,585,1,39,47,44,50,48,M
98,66,440,102,55,67,27,29,29,F
98,61,443,150,74,92,31,34,34,M
98,68,878,231,58,89,37,41,40,M
98,74,322,119,73,96,31,33,32,M
99,66,453,99,56,69,33,34,35,M
99,61,432,151,76,94,29,31,31,M
99,68,857,214,55,83,44,49,46,M
99,74,307,123,76,99,27,28,28,M
100,66,475,100,52,66,35,39,38,M
100,61,416,158,75,93,27,28,28,M
100,68,829,206,57,85,36,39,39,M
101,66,482,101,51,64,37,40,40,M
101,61,410,160,74,93,32,34,34,M
101,68,820,204,58,85,35,38,38,M
101,82,262,135,72,103,29,31,32,M
101,83,181,92,71,73,28,30,30,M
102,66,503,94,50,62,34,37,36,M
102,61,387,170,78,97,28,30,30,M
102,68,790,191,56,81,44,50,48,M
102,82,225,149,71,101,26,27,28,M
102,83,204,91,73,76,25,27,27,M
103,66,528,85,48,60,41,46,45,M
103,36,568,2,57,74,48,53,51,M
103,82,175,150,71,101,26,27,28,M
103,83,236,80,72,75,26,28,28,M
103,70,336,182,69,91,31,33,32,M
104,36,573,2,51,68,44,49,48,M
104,82,134,152,72,103,27,29,29,M
104,83,269,73,71,74,27,29,29,M
104,70,308,187,73,94,28,30,30,M
105,82,95,164,74,105,29,31,30,M
105,83,301,72,62,65,26,27,28,M
105,70,286,196,74,95,26,27,28,M
106,82,65,178,76,106,34,35,35,M
106,83,334,74,60,65,27,28,28,M
106,70,266,212,75,95,29,31,30,M
106,66,562,78,62,79,27,29,29,M
107,82,57,182,76,107,27,28,28,M
107,83,343,75,60,65,27,28,28,M
107,70,259,217,75,95,28,29,30,M
107,94,731,196,57,70,27,29,29,M
107,95,599,167,57,73,32,34,34,M
107,66,567,77,63,82,28,29,30,M
108,82,34,186,78,109,25,25,26,M
108,83,369,69,61,67,28,29,30,M
108,70,247,223,77,96,24,25,26,M
108,94,709,193,56,69,34,37,36,M
108,95,565,164,60,77,34,37,36,M
109,82,3,196,79,111,25,26,26,M
109,83,393,62,58,65,22,24,24,M
109,70,228,231,77,95,25,25,26,F
109,94,676,181,52,64,33,34,35,M
109,95,529,162,56,72,34,35,35,M
110,83,405,61,57,63,27,28,28,M
110,94,645,177,51,62,27,29,29,M
110,95,503,151,56,71,36,39,39,M
110,96,557,91,53,82,34,37,36,M
111,83,408,61,56,62,29,31,31,M
111,94,626,170,53,64,33,35,35,M
111,95,482,145,55,71,35,39,38,M
111,96,561,90,52,81,37,39,39,F
111,70,168,261,75,92,25,25,26,M
112,83,404,54,57,65,26,27,28,M
112,94,618,168,54,64,33,35,35,M
112,95,453,144,56,72,35,37,37,M
112,96,561,89,53,81,33,34,35,M
112,70,123,263,81,99,25,25,26,M
112,68,701,3,43,63,29,31,30,M
112,36,585,1,38,50,40,44,43,M
113,83,402,52,57,65,27,29,29,M
113,94,617,167,53,65,34,37,36,M
113,95,444,144,57,72,36,39,39,M
113,96,561,88,53,81,33,34,35,M
113,70,107,264,83,101,27,29,29,M
113,36,586,1,37,48,44,49,47,M
114,83,400,47,57,65,25,26,26,M
114,94,615,164,55,66,34,36,36,M
114,95,413,140,56,71,36,39,38,M
114,96,562,85,54,84,29,31,32,M
114,70,94,273,81,98,11,21,18,M
114,36,584,2,37,48,35,37,37,M
115,83,403,44,54,63,27,28,28,M
115,94,605,162,59,72,35,39,38,M
115,95,382,131,56,73,35,37,37,M
115,96,574,88,53,83,30,33,32,F
115,70,89,284,86,103,29,31,32,M
115,36,581,2,40,54,39,43,42,M
116,83,416,44,52,61,27,28,28,M
116,94,595,161,56,68,39,44,42,M
116,95,365,129,52,68,34,35,35,M
116,96,591,90,50,77,34,35,35,M
116,70,96,288,91,110,29,31,30,M
116,36,579,3,42,57,38,42,40,M
117,83,435,41,52,61,27,29,29,M
117,94,567,166,60,71,34,36,36,M
117,95,359,122,53,70,31,33,32,M
117,96,603,92,49,76,35,38,37,M
117,70,98,298,93,109,29,31,31,M
117,36,580,3,40,56,48,53,52,M
118,83,456,37,50,59,33,34,35,M
118,94,532,171,64,76,39,43,41,M
118,95,357,119,53,70,38,41,40,M
118,96,608,94,49,74,41,46,45,M
118,70,85,307,96,115,25,25,26,M
118,36,582,3,38,53,50,56,54,M
119,83,463,35,49,60,27,28,28,M
119,94,520,173,64,78,34,35,35,M
119,95,357,118,54,70,36,39,39,M
119,96,610,95,48,73,39,44,42,M
119,70,80,311,98,116,25,27,27,M
119,36,583,3,37,51,53,63,58,M
119,101,149,152,59,67,38,41,40,M
120,83,472,32,50,60,25,27,27,M
120,94,504,175,61,74,31,34,34,M
120,95,361,114,55,71,33,34,35,M
120,96,606,99,47,70,33,34,35,M
120,70,53,326,95,114,26,27,28,M
120,36,584,2,39,56,59,73,66,M
120,101,170,143,56,65,37,41,40,M
